187174;1.000;79.637;4.730;0.952;75.718;4.771;0.970;75.085;2.000;0.819;68.298;2.000;	;	;	;	;	;	;1.067;75.085;2.000;	;	;	;0.068;75.085;2.000;1.116;68.298;2.000;	;	;	;	;	;	;
187173;1.000;79.593;4.899;0.955;75.626;4.719;0.971;75.134;2.000;0.811;68.289;2.000;	;	;	;	;	;	;1.082;75.134;2.000;	;	;	;0.061;75.134;2.000;1.110;68.289;2.000;	;	;	;	;	;	;
187172;1.000;79.508;4.613;0.961;75.679;4.732;0.933;75.130;2.000;0.751;68.296;2.000;	;	;	;	;	;	;1.047;75.130;2.000;	;	;	;0.066;75.130;2.000;1.062;68.296;2.000;	;	;	;	;	;	;
187170;1.000;79.776;4.926;0.916;75.686;4.926;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;
187164;1.000;80.168;2.466;0.921;75.791;2.464;0.995;75.215;1.600;0.908;75.236;1.600;	;	;	;	;	;	;1.162;75.215;1.600;0.499;75.236;1.600;0.436;75.215;1.600;1.246;75.236;1.600;	;	;	;	;	;	;
187163;1.000;80.067;4.926;0.919;75.731;4.926;0.943;75.195;2.000;0.880;75.270;2.000;	;	;	;	;	;	;1.113;75.195;2.000;	;	;	;0.040;75.195;2.000;1.262;75.270;2.000;	;	;	;	;	;	;
187065;1.000;80.059;1.769;0.893;75.558;1.780;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;
187064;1.000;79.998;4.292;0.898;75.628;1.392;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;
187058;1.000;79.680;4.101;0.918;77.380;1.298;	;	;	;0.843;76.937;3.490;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.294;76.937;3.490;	;	;	;	;	;	;
187057;1.000;79.674;4.292;0.913;77.389;1.392;	;	;	;0.857;76.936;3.600;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.276;76.936;3.600;	;	;	;	;	;	;
187056;1.000;79.795;4.292;0.911;77.484;1.392;	;	;	;0.851;76.937;3.600;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.290;76.937;3.600;	;	;	;	;	;	;
187055;1.000;79.681;4.191;0.910;77.359;1.351;	;	;	;0.863;76.924;3.600;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.300;76.924;3.600;	;	;	;	;	;	;
187054;1.000;79.764;4.292;0.918;77.349;1.392;	;	;	;0.859;76.932;3.565;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.288;76.932;3.565;	;	;	;	;	;	;
187053;1.000;79.729;4.292;0.901;77.373;1.392;	;	;	;0.802;75.052;3.600;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.225;75.052;3.600;	;	;	;	;	;	;
187052;1.000;79.738;4.287;0.912;77.376;1.392;	;	;	;0.864;75.037;3.600;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.251;75.037;3.600;	;	;	;	;	;	;
187051;1.000;79.752;4.292;0.918;77.369;1.392;	;	;	;0.867;75.050;3.600;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.261;75.050;3.600;	;	;	;	;	;	;
187046;1.000;79.718;2.513;0.943;75.246;2.034;1.054;69.674;2.600;0.712;66.288;4.260;	;	;	;	;	;	;1.214;69.674;2.600;0.366;66.288;4.260;0.319;69.674;2.600;1.078;66.288;4.260;	;	;	;	;	;	;
187045;1.000;79.793;2.513;0.960;75.342;2.043;1.059;69.716;2.600;0.729;66.265;4.225;	;	;	;	;	;	;1.209;69.716;2.600;0.348;66.265;4.225;0.718;69.716;2.600;1.054;66.265;4.225;	;	;	;	;	;	;
187040;1.000;79.627;2.683;0.927;75.397;2.357;1.061;69.743;2.880;0.654;66.309;4.850;	;	;	;	;	;	;1.139;69.743;2.880;0.388;66.309;4.850;0.367;69.743;2.880;1.100;66.309;4.850;	;	;	;	;	;	;
187038;1.000;79.740;2.513;0.931;75.371;2.043;1.046;69.731;2.600;0.702;66.314;4.660;	;	;	;	;	;	;1.191;69.731;2.600;0.351;66.314;4.660;2.059;69.731;2.600;1.054;66.314;4.660;	;	;	;	;	;	;
187037;1.000;79.754;2.513;0.936;75.401;2.043;1.049;69.761;2.600;0.653;66.287;4.885;	;	;	;	;	;	;1.167;69.761;2.600;0.362;66.287;4.885;0.341;69.761;2.600;1.061;66.287;4.885;	;	;	;	;	;	;
187036;1.000;79.728;2.683;0.928;75.437;2.357;1.042;69.758;2.880;0.668;66.308;4.875;	;	;	;	;	;	;1.226;69.758;2.880;0.340;66.308;4.875;2.459;69.758;2.880;1.069;66.308;4.875;	;	;	;	;	;	;
187035;1.000;79.709;2.683;0.921;75.392;2.357;1.045;69.799;2.880;0.671;66.304;4.950;	;	;	;	;	;	;1.228;69.799;2.880;0.351;66.304;4.950;0.785;69.799;2.880;1.076;66.304;4.950;	;	;	;	;	;	;
187033;1.000;79.789;2.513;0.940;75.405;2.034;1.021;69.784;2.600;0.702;66.286;4.700;	;	;	;	;	;	;1.206;69.784;2.600;0.336;66.286;4.700;12.287;69.784;2.600;1.040;66.286;4.700;	;	;	;	;	;	;
187032;1.000;79.634;2.506;0.943;75.316;2.047;1.025;69.720;2.600;0.715;66.305;4.915;	;	;	;	;	;	;1.200;69.720;2.600;0.332;66.305;4.915;	;	;	;1.030;66.305;4.915;	;	;	;	;	;	;
