187172;1.000;79.508;4.613;1.021;75.679;4.732;0.920;75.130;2.000;0.794;68.296;2.000;	;	;	;	;	;	;1.113;75.130;2.000;	;	;	;0.051;75.130;2.000;1.122;68.296;2.000;2.477;79.508;4.613;1.756;75.679;4.732;
187170;1.000;79.776;4.926;0.977;75.686;4.926;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;1.967;79.776;4.926;1.632;75.686;4.926;
187164;1.000;80.168;2.466;0.985;75.791;2.464;0.985;75.215;1.600;0.894;75.236;1.600;	;	;	;	;	;	;1.218;75.215;1.600;1.297;75.236;1.600;1.559;75.215;1.600;1.221;75.236;1.600;2.078;80.168;2.466;1.673;75.791;2.464;
187163;1.000;80.067;4.926;0.984;75.731;4.926;0.930;75.195;2.000;0.869;75.270;2.000;	;	;	;	;	;	;1.179;75.195;2.000;	;	;	;0.046;75.195;2.000;1.247;75.270;2.000;1.952;80.067;4.926;1.627;75.731;4.926;
187065;1.000;80.059;1.769;0.956;75.558;1.780;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;2.262;80.059;1.769;1.656;75.558;1.780;
187064;1.000;79.998;4.292;0.951;75.628;1.392;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;	;2.178;79.998;4.292;1.681;75.628;1.392;
187058;1.000;79.680;4.101;1.005;77.380;1.298;	;	;	;0.819;76.937;3.490;	;	;	;	;	;	;	;	;	;1.060;76.937;3.490;	;	;	;1.252;76.937;3.490;2.027;79.680;4.101;2.074;77.380;1.298;
187057;1.000;79.674;4.292;1.003;77.389;1.392;	;	;	;0.844;76.936;3.600;	;	;	;	;	;	;	;	;	;1.021;76.936;3.600;	;	;	;1.261;76.936;3.600;2.488;79.674;4.292;2.018;77.389;1.392;
187056;1.000;79.795;4.292;1.004;77.484;1.392;	;	;	;0.838;76.937;3.600;	;	;	;	;	;	;	;	;	;1.057;76.937;3.600;	;	;	;1.272;76.937;3.600;2.380;79.795;4.292;1.974;77.484;1.392;
187055;1.000;79.681;4.191;0.999;77.359;1.351;	;	;	;0.841;76.924;3.600;	;	;	;	;	;	;	;	;	;1.101;76.924;3.600;	;	;	;1.278;76.924;3.600;2.743;79.681;4.191;2.165;77.359;1.351;
